City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,22.54,77,98,5.92,PN,1683429065
1,shunyi,40.125,116.6453,23.97,19,0,4.0,CN,1683429065
2,anadyr,64.75,177.4833,0.28,69,0,7.0,RU,1683429066
3,ushtobe,45.2514,77.9838,14.9,20,4,4.4,KZ,1683429066
4,college,64.8569,-147.8028,10.97,43,20,6.69,US,1683429066
5,saipan,15.1355,145.701,31.39,100,75,7.2,MP,1683429067
6,aasiaat,68.7098,-52.8699,-2.86,96,100,1.8,GL,1683429067
7,waitangi,-43.9535,-176.5597,16.01,88,100,1.79,NZ,1683429068
8,yuzhno-kurilsk,44.0306,145.8556,5.57,62,38,1.43,RU,1683429068
9,port alfred,-33.5906,26.891,13.43,88,48,0.89,ZA,1683429068
10,saint-joseph,-21.3667,55.6167,22.21,76,20,5.17,RE,1683429068
11,lebu,-37.6167,-73.65,11.51,93,15,5.59,CL,1683429068
12,ancud,-41.8697,-73.8203,8.87,90,15,2.69,CL,1683429069
13,pangody,65.85,74.4859,-2.14,96,100,6.55,RU,1683429069
14,igarka,67.4667,86.5833,-6.87,74,100,3.03,RU,1683429069
15,yellowknife,62.456,-114.3525,16.98,33,0,5.81,CA,1683429069
16,nuku'alofa,-21.1333,-175.2,27.19,78,40,6.69,TO,1683429070
17,albany,42.6001,-73.9662,13.23,62,32,2.49,US,1683429070
18,kruisfontein,-34.0033,24.7314,12.71,78,40,3.14,ZA,1683429070
19,murgeni,46.2044,28.0197,8.34,72,82,1.17,RO,1683429070
20,grytviken,-54.2811,-36.5092,2.43,83,78,7.92,GS,1683429071
21,margaret river,-33.95,115.0667,15.36,82,98,5.43,AU,1683429071
22,tazovsky,67.4667,78.7,-8.52,89,100,4.45,RU,1683429071
23,ushuaia,-54.8,-68.3,6.81,57,20,1.54,AR,1683429038
24,thames,-37.1333,175.5333,19.14,83,100,2.87,NZ,1683429072
25,port mathurin,-19.6833,63.4167,26.06,71,5,9.13,MU,1683429072
26,wailua homesteads,22.0669,-159.378,27.24,67,75,8.75,US,1683429072
27,georgetown,5.4112,100.3354,29.97,79,20,0.0,MY,1683428905
28,benguela,-12.5763,13.4055,24.71,86,31,0.75,AO,1683429073
29,bilibino,68.0546,166.4372,-1.11,88,99,1.97,RU,1683429073
30,stanley,54.868,-1.6985,11.27,95,75,1.54,GB,1683429030
31,manicore,-5.8092,-61.3003,23.31,99,83,0.83,BR,1683429073
32,papatowai,-46.5619,169.4708,17.01,75,2,3.36,NZ,1683429073
33,roma,43.2128,-75.4557,11.04,83,0,0.0,US,1683429074
34,colonia,50.9333,6.95,14.42,88,0,1.54,DE,1683429074
35,suva,-18.1416,178.4415,28.71,70,75,2.57,FJ,1683428808
36,karratha,-20.7377,116.8463,29.77,25,8,9.49,AU,1683429074
37,whitehorse,60.7161,-135.0538,11.72,73,48,1.93,CA,1683428921
38,haiku-pauwela,20.9219,-156.3051,26.01,61,20,10.8,US,1683429075
39,port lincoln,-34.7333,135.8667,13.58,56,100,4.76,AU,1683428905
40,alta,69.9689,23.2717,-0.41,71,0,2.06,NO,1683429075
41,dompu,-8.5356,118.4622,30.11,69,43,2.4,ID,1683429076
42,san antonio de pale,-1.4014,5.6325,28.1,78,73,4.28,GQ,1683429076
43,bethel,41.3712,-73.414,14.97,62,100,2.57,US,1683429076
44,mana,5.6592,-53.7767,25.54,89,100,3.57,GF,1683429076
45,prince rupert,54.3161,-130.3201,9.05,81,100,1.54,CA,1683429036
46,uturoa,-16.7333,-151.4333,28.22,71,100,7.15,PF,1683429077
47,st. john's,47.5649,-52.7093,2.6,97,100,4.63,CA,1683429077
48,kaedi,16.1465,-13.5047,31.61,13,71,4.58,MR,1683429078
49,chonchi,-42.6128,-73.8092,8.95,94,21,2.33,CL,1683429078
50,barra dos coqueiros,-10.9089,-37.0386,24.01,94,20,1.03,BR,1683429078
51,iskateley,67.6803,53.1512,-7.84,90,52,5.1,RU,1683429078
52,gizo,-8.103,156.8419,29.73,71,32,1.54,SB,1683429079
53,cabo san lucas,22.8909,-109.9124,26.61,57,75,1.54,MX,1683429014
54,liangxiang,39.7319,116.14,24.14,14,0,4.76,CN,1683429079
55,touros,-5.1989,-35.4608,24.31,87,9,4.43,BR,1683429079
56,lerwick,60.1545,-1.1494,8.0,94,100,9.29,GB,1683429080
57,lompoc,34.6391,-120.4579,14.88,87,75,2.57,US,1683428921
58,puerto natales,-51.7236,-72.4875,4.41,86,64,2.93,CL,1683429080
59,ak'ordat,15.5486,37.8867,28.64,42,37,1.1,ER,1683429080
